"Plot Title: Rollinson_C6"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °F (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
141,01/17/19 07:33:43 AM,34.419,0.3388,1.2,28.942,87.800
142,01/17/19 08:33:43 AM,34.468,0.3388,6.2,29.097,90.300
143,01/17/19 09:33:43 AM,34.468,0.3388,36.2,30.173,92.100
144,01/17/19 10:33:43 AM,34.468,0.3388,56.2,31.188,93.000
145,01/17/19 11:33:43 AM,34.516,0.3395,131.2,32.542,93.300
146,01/17/19 12:33:43 PM,34.516,0.3395,163.7,33.879,91.600
147,01/17/19 01:33:43 PM,34.516,0.3388,221.2,35.152,88.700
148,01/17/19 02:33:43 PM,34.565,0.3388,141.2,35.298,86.700
149,01/17/19 03:33:43 PM,34.565,0.3388,93.7,34.565,85.800
150,01/17/19 04:33:43 PM,34.565,0.3388,31.2,33.435,86.700
151,01/17/19 05:33:43 PM,34.565,0.3388,3.7,32.742,86.600
152,01/17/19 06:33:43 PM,34.615,0.3388,1.2,32.542,87.400
153,01/17/19 07:33:43 PM,34.615,0.3388,1.2,32.142,88.900
154,01/17/19 08:33:43 PM,34.615,0.3395,1.2,31.791,90.000
155,01/17/19 09:33:43 PM,34.615,0.3395,1.2,31.440,89.600
156,01/17/19 10:33:43 PM,34.664,0.3395,1.2,31.138,89.400
157,01/17/19 11:33:43 PM,34.664,0.3402,1.2,31.188,90.100
158,01/18/19 12:33:43 AM,34.664,0.3402,1.2,30.936,90.500
159,01/18/19 01:33:43 AM,34.664,0.3402,1.2,30.936,90.700
160,01/18/19 02:33:43 AM,34.664,0.3402,1.2,30.834,90.600
161,01/18/19 03:33:43 AM,34.713,0.3402,1.2,30.479,90.100
162,01/18/19 04:33:43 AM,34.713,0.3409,1.2,30.276,87.800
163,01/18/19 05:33:43 AM,34.713,0.3402,1.2,29.917,87.400
164,01/18/19 06:33:43 AM,34.713,0.3409,1.2,29.509,86.200
165,01/18/19 07:33:43 AM,34.761,0.3409,1.2,29.509,85.800
166,01/18/19 08:33:43 AM,34.761,0.3409,8.7,29.611,86.300
167,01/18/19 09:33:43 AM,34.761,0.3409,36.2,28.994,84.500
168,01/18/19 10:33:43 AM,34.761,0.3409,81.2,29.714,82.000
169,01/18/19 11:33:43 AM,34.810,0.3409,98.7,29.662,80.800
170,01/18/19 12:33:43 PM,34.810,0.3417,83.7,29.457,80.700
171,01/18/19 01:33:43 PM,34.810,0.3417,66.2,29.304,80.600
172,01/18/19 02:33:43 PM,34.810,0.3417,66.2,28.580,80.700
173,01/18/19 03:33:43 PM,34.858,0.3417,53.7,27.851,82.200
174,01/18/19 04:33:43 PM,34.858,0.3417,23.7,27.642,85.500
175,01/18/19 05:33:43 PM,34.858,0.3417,1.2,28.060,87.000
176,01/18/19 06:33:43 PM,34.810,0.3460,1.2,28.269,85.200
177,01/18/19 07:33:43 PM,34.810,0.3438,1.2,28.632,83.500
178,01/18/19 08:33:43 PM,34.810,0.3417,1.2,28.942,85.400
179,01/18/19 09:33:43 PM,34.810,0.3409,1.2,28.216,89.000
180,01/18/19 10:33:43 PM,34.761,0.3424,1.2,28.425,93.600
181,01/18/19 11:33:43 PM,34.761,0.3409,1.2,28.008,95.200
182,01/19/19 12:33:43 AM,34.761,0.3431,1.2,28.008,96.100
183,01/19/19 01:33:43 AM,34.761,0.3431,1.2,27.799,96.600
184,01/19/19 02:33:43 AM,34.761,0.3417,1.2,27.851,96.900
185,01/19/19 03:33:43 AM,34.761,0.3409,1.2,27.851,97.100
186,01/19/19 04:33:43 AM,34.810,0.3417,1.2,27.433,96.800
187,01/19/19 05:33:43 AM,34.810,0.3409,1.2,27.327,97.100
188,01/19/19 06:33:43 AM,34.810,0.3417,1.2,26.854,97.400
189,01/19/19 07:33:43 AM,34.810,0.3402,1.2,26.058,97.600
190,01/19/19 08:33:43 AM,34.810,0.3395,13.7,25.792,97.800
191,01/19/19 09:33:43 AM,34.810,0.3395,51.2,25.632,97.800
192,01/19/19 10:33:43 AM,34.810,0.3395,86.2,25.898,97.600
193,01/19/19 11:33:43 AM,34.858,0.3388,98.7,25.792,95.800
194,01/19/19 12:33:43 PM,34.858,0.3388,133.7,25.471,90.900
195,01/19/19 01:33:43 PM,34.858,0.3388,121.2,24.987,89.600
196,01/19/19 02:33:43 PM,34.858,0.3380,96.2,24.933,89.400
197,01/19/19 03:33:43 PM,34.858,0.3373,53.7,24.609,88.500
198,01/19/19 04:33:43 PM,34.858,0.3373,21.2,23.956,87.600
199,01/19/19 05:33:43 PM,34.858,0.3373,1.2,22.912,88.700
200,01/19/19 06:33:43 PM,34.858,0.3373,1.2,20.671,88.700
201,01/19/19 07:33:43 PM,34.858,0.3366,1.2,20.102,88.500
202,01/19/19 08:33:43 PM,34.858,0.3366,1.2,18.714,86.800
203,01/19/19 09:33:43 PM,34.858,0.3373,1.2,16.705,86.600
204,01/19/19 10:33:43 PM,34.858,0.3366,1.2,14.763,79.000
205,01/19/19 11:33:43 PM,34.858,0.3373,1.2,12.000,76.900
206,01/20/19 12:33:43 AM,34.858,0.3373,1.2,11.485,80.400
207,01/20/19 01:33:43 AM,34.858,0.3373,1.2,11.097,80.200
208,01/20/19 02:33:43 AM,34.858,0.3373,1.2,9.849,78.100
209,01/20/19 03:33:43 AM,34.858,0.3380,1.2,10.047,77.200
210,01/20/19 04:33:43 AM,34.858,0.3380,1.2,8.101,76.700
